"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.22097452007461e-129,4.09515556351827,0.371,0.032,2.36075423456425e-125,"Epithelial","SLC22A18"
1.45269410705617e-128,4.66085633019704,0.36,0.026,2.80878405599311e-124,"Epithelial","MALL"
3.03631401143575e-128,1.03034765274237,0.721,0.462,5.87071314111101e-124,"Epithelial","RPS27L"
5.55041571806556e-128,0.944770592003394,0.806,0.63,1.07317287908798e-123,"Epithelial","KLF6"
3.4640348613503e-127,0.900826199976804,0.781,0.574,6.6977114044208e-123,"Epithelial","POLR2L"
2.31680359170318e-126,4.46057752847114,0.372,0.043,4.47953974455809e-122,"Epithelial","CEACAM7"
2.0410665882874e-124,3.12707001347876,0.399,0.067,3.94640224845369e-120,"Epithelial","LDLR"
3.28234959507967e-124,3.4300662773284,0.403,0.076,6.34642294208655e-120,"Epithelial","FCGBP"
5.36078734735323e-124,1.91035168532672,0.515,0.203,1.03650823361075e-119,"Epithelial","MGST3"
8.33192379883909e-124,3.95460249752773,0.379,0.051,1.61097746650554e-119,"Epithelial","SLC26A2"
1.01194298619623e-123,1.30580390492943,0.622,0.331,1.95659176381041e-119,"Epithelial","P4HB"
1.42800540480968e-123,4.32193464987047,0.367,0.042,2.76104845019952e-119,"Epithelial","CEACAM1"
2.56910988861049e-123,2.63768284431415,0.427,0.091,4.96737396962839e-119,"Epithelial","COMTD1"
2.61519672749006e-123,3.60132539624216,0.378,0.048,5.05648287260203e-119,"Epithelial","MUC1"
2.82899315997724e-123,3.52056167203343,0.369,0.035,5.46985827481599e-119,"Epithelial","TMEM176B"
3.58074631886437e-123,4.97111045103946,0.34,0.015,6.92337300752426e-119,"Epithelial","CA12"
7.11838736195287e-123,1.82899502950401,0.523,0.213,1.37634019643359e-118,"Epithelial","CHMP2A"
9.31444689067705e-123,3.86354046867669,0.374,0.046,1.80094830631241e-118,"Epithelial","SEPP1"
1.20999757766626e-122,4.70219132802936,0.345,0.021,2.33953031641771e-118,"Epithelial","LMO7"
2.29015429969013e-122,4.44563718415705,0.351,0.027,4.42801333845086e-118,"Epithelial","GPRC5A"
3.50392450689492e-122,1.06722158149315,0.687,0.429,6.77483803408133e-118,"Epithelial","HSP90B1"
4.38049147145324e-121,3.7235705224051,0.362,0.036,8.46968026005484e-117,"Epithelial","RBM47"
5.56673031717832e-121,0.535815914846069,0.963,0.892,1.07632730682643e-116,"Epithelial","UBB"
9.75111291010762e-121,1.00776307288159,0.741,0.499,1.88537768116931e-116,"Epithelial","IER2"
2.32202062969404e-120,4.63785044121112,0.339,0.019,4.48962688751342e-116,"Epithelial","HMGCS2"
6.63778577192313e-118,5.22831952119509,0.326,0.013,1.28341587900134e-113,"Epithelial","PRSS8"
6.0055412744364e-117,2.97179923432981,0.389,0.071,1.16117140541228e-112,"Epithelial","ASL"
1.19851743331553e-116,3.75888698896532,0.348,0.029,2.31733345731558e-112,"Epithelial","TMEM176A"
1.19656961891682e-115,3.55744801243938,0.363,0.048,2.31356735817567e-111,"Epithelial","ASS1"
1.04843744790011e-114,1.79146585695723,0.517,0.23,2.02715380551485e-110,"Epithelial","UGP2"
2.43971425099104e-113,4.76190439459733,0.326,0.02,4.71718750429118e-109,"Epithelial","CLDN23"
5.36214420968565e-113,4.06191935476198,0.335,0.028,1.03677058294272e-108,"Epithelial","PPP1R1B"
1.09559159593249e-112,4.14609801985551,0.331,0.025,2.11832635073547e-108,"Epithelial","JUP"
1.26126644043635e-111,3.77491130772904,0.344,0.039,2.43865866258369e-107,"Epithelial","CYP3A5"
7.43632960759331e-111,0.8942908147822,0.756,0.554,1.43781432962817e-106,"Epithelial","TUBB4B"
2.72220501786895e-110,4.70039022620206,0.317,0.018,5.26338340204962e-106,"Epithelial","DSC2"
1.03943828564192e-109,3.0991994976976,0.371,0.067,2.00975392528864e-105,"Epithelial","SPATS2L"
5.47803545202866e-108,4.49466981069589,0.316,0.021,1.05917815464974e-103,"Epithelial","MAL2"
1.23493757157496e-107,2.20780322615696,0.413,0.096,2.38775179464019e-103,"Epithelial","GRN"
4.92307097348102e-107,4.35465681231527,0.314,0.021,9.51875772722556e-103,"Epithelial","GOLM1"
5.24018586219689e-107,0.874158769812164,0.744,0.55,1.01318993645577e-102,"Epithelial","DBI"
5.19499760775409e-106,4.47650437202878,0.313,0.022,1.00445278745925e-101,"Epithelial","TMPRSS2"
7.14472442483564e-105,2.67451120084479,0.374,0.075,1.38143246754197e-100,"Epithelial","LIMA1"
1.94683906325702e-104,3.27518386547649,0.341,0.047,3.76421332880745e-100,"Epithelial","ACADS"
1.87654387748333e-103,1.71796482880539,0.485,0.199,3.62829758711402e-99,"Epithelial","TUBA1C"
1.20227678298986e-102,1.45874581301074,0.533,0.251,2.3246021599109e-98,"Epithelial","PHPT1"
1.5388911719921e-102,1.44533190460383,0.53,0.251,2.97544608104673e-98,"Epithelial","AP2S1"
2.94628970542678e-102,3.39435609741866,0.332,0.044,5.69665114544268e-98,"Epithelial","LLGL2"
7.22438815401113e-102,3.51772393051329,0.324,0.036,1.39683544957805e-97,"Epithelial","RP11-357H14.17"
6.93324738004904e-101,1.3128925204121,0.558,0.293,1.34054338093248e-96,"Epithelial","PRDX2"
1.294716786744e-100,3.88414269902147,0.314,0.032,2.50333490716952e-96,"Epithelial","MUC5B"
4.16449496675751e-100,2.4975138841339,0.384,0.097,8.05205101822565e-96,"Epithelial","NAPRT1"
4.26575943069079e-100,4.51789889677429,0.296,0.019,8.24784585924064e-96,"Epithelial","DSG2"
1.01015512853861e-99,2.49253870159611,0.39,0.103,1.9531349410294e-95,"Epithelial","MXD1"
2.20782046842339e-99,1.9256911830262,0.436,0.157,4.26882087569662e-95,"Epithelial","ECHS1"
4.02760570822476e-99,2.61146438234157,0.367,0.078,7.78737563685258e-95,"Epithelial","ISOC2"
8.92630133743002e-99,3.68919039207391,0.326,0.046,1.72590036359209e-94,"Epithelial","TFF1"
5.23294867979509e-98,2.43727842264713,0.379,0.095,1.01179062723838e-93,"Epithelial","PNKD"
1.14750096658698e-97,3.81085355239226,0.307,0.031,2.21869311889593e-93,"Epithelial","MAPK3"
7.8516193698821e-97,1.05878390556338,0.651,0.407,1.5181106051667e-92,"Epithelial","S100A11"
1.19780220716535e-96,3.3544034202925,0.316,0.038,2.3159505675542e-92,"Epithelial","ALDH2"
1.35530948202347e-96,1.7533518842609,0.456,0.174,2.62049088349237e-92,"Epithelial","PHB"
1.676947883295e-96,2.57295253213643,0.368,0.079,3.24237873235089e-92,"Epithelial","SOX4"
9.07792042623738e-96,4.70899145979905,0.29,0.022,1.755215914413e-91,"Epithelial","MS4A12"
1.12326263391563e-95,0.688670414230732,0.804,0.667,2.17182830267587e-91,"Epithelial","CYCS"
1.20737669321138e-95,4.08865293210697,0.298,0.028,2.3344628363242e-91,"Epithelial","PLS1"
3.81236412233988e-95,1.41552844772133,0.521,0.251,7.37120603054415e-91,"Epithelial","MRPL23"
1.26859594772957e-94,3.06470643176752,0.332,0.056,2.45283026493513e-90,"Epithelial","FAM46A"
